Title,Subtitle,Rating,Authors,Series,Volume,Publisher,Release Date,Description,ISBN-10,ISBN-13,Google ID,No. Of Pages,Dimensions,Collections,Subjects,Notes,Cover Image URL,Info URL
Microsoft ADO.NET step by step,,,Rebecca Riordan,,,Microsoft Press,2002-01-30,"ADO.NET'the data-access component of the Microsoft .NET Framework'works with any component on any platform that understands XML. Get a solid handle on ADO.NET and learn how to exploit the database functionality of Microsoft Visual Basic® .NET and Microsoft Visual C#'¢ .NET with this step-by-step primer. You'll be working in ADO.NET right away with easy-to-grasp examples drawn from the real-world challenges developers face every day. Learn about the ADO.NET object model and how to use it to develop data-bound Windows® Forms and Web Forms. See how ADO.NET interacts with XML and how to access older versions of ADO from the .NET environment. Throughout, you'll find insightful tips and expert explanations for rapid acceleration of development productivity, faster applications, and more powerful results. Topics covered include: Getting started with ADO.NET Creating connections The Data command and DataReader Accessing data with the DataAdapter Working with DataSets Working with DataTables Controlling table views with DataViews Editing and updating data Data-binding in Windows Forms Data-binding in Web Forms Using the XML Designer to modify data structure Reading and writing XML with ADO.NET Using ADO from the .NET Framework CD features:* Examples of real-world solutions developed with ADO.NET, including sample code in Visual Basic .NET and Visual C# .NET",0735612366,9780735612365,mjpGAAAAYAAJ,528,18.7x23.5x3.5 cm,,"Database design, Object oriented programming (Computer science), ActiveX, Object-oriented programming (Computer science), Computers / Programming / Object Oriented, Computers / Hardware / Personal Computers / General, Computers / Database Management / General, Computers / Programming Languages / Visual BASIC, Computers / Data Modeling & Design, Computers / Desktop Applications / Spreadsheets, Computers / General, Computers / Programming / Software Development",,http://bks5.books.google.com/books?id=mjpGAAAAYAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_gdata,http://books.google.com/books?id=mjpGAAAAYAAJ
Microsoft ASP.NET setup and configuration pocket reference,,,James Avery,,,Microsoft Press,2003-05-21,"Portable and precise, this pocket-sized reference is the Web application developer's fast-answers guide to ASP.NET configuration architecture, settings, and custom settings. Zero in on key ASP.NET configuration details and techniques using quick-reference tables, lists, step-by-step instructions, and real world tips, including coding examples for version 2003 of Microsoft Visual Basic .NET and Microsoft Visual C# .NET. This handy, one-stop guide delivers the focused, streamlined direction you need to get your Web solutions up and running quickly.Get fast facts to: Exploit ASP.NET configuration file inheritance Customize applications by manipulating configuration settings Configure the System.Web namespace with reference on all sections, settings, and values Use .NET configuration settings for system diagnostics, .NET Remoting, proxy settings, and just-in-time compilation Tweak ASP.NET mobile controls for the unique needs of mobile devices Configure CLR settings, including garbage collection and cryptography Use Microsoft IIS settings to manage application pools and implement Windows authentication Build and use custom sections and section handlers",0735619360,9780735619364,psS5OwAACAAJ,212,14.0x20.6x2.0 cm,,"Active server pages, Electronic books, Microsoft .NET, Web site Development/ Computer programs, Web site Development, Web site development, Computers / General, Computers / Programming / General, Computers / Programming Languages / XML, Computers / Web / General, Computers / Web / Site Design, Computers / Web / Web Programming",,http://bks9.books.google.com/books?id=psS5OwAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_gdata,http://books.google.com/books?id=psS5OwAACAAJ
Microsoft Office Access 2003 inside out,,,John Viescas,,,Microsoft Press,2004-01-01,"Hey, you know your way around a databaseso now dig into Access 2003 and really put your information to work! This supremely organized reference packs hundreds of timesaving solutions, troubleshooting tips, and workarounds all in concise, fast-answer format. It's all muscle and no fluff. Discover the best and fastest ways to perform everyday tasks, and challenge yourself to new levels of Access mastery! Build on what you already know about Access and quickly dive into what's new Design your database the way the experts doand sidestep common mistakes Import data from spreadsheets, text files, databases, and other sources Write simple to sophisticated queries to manipulate data Learn advanced techniques for building forms and reports Develop PivotTable and PivotChart dynamic views Tap the power of Microsoft SQL Server with Access projects and views, functions, and stored procedures Implement database security features Deliver dynamic data on the Web with data access pages and XML Use Microsoft Visual Basic for Applications (VBA) and script to automate your applications and Web pagesCD features: Complete eBook in PDF format Insider Extrasincluding fully functional sample databases, VBA code, and sample web pages Catalog of Access resources with links to third-party tools and demos Microsoft resources and demos, including Insider's Guide to Microsoft Office OneNote 2003 eBook Microsoft Computer Dictionary, Fifth Edition, eBook10,000+ entries",0735615136,9780735615137,VRrplVsxIK4C,1340,18.7x24.0x5.8 cm,,"Microsoft Access, Database management, Microsoft Access 2003 (Computer programs), Visual Basic (Computer program language), Microsoft Visual BASIC, Electronic books, Computers / Programming / Software Development, Computers / Database Management / General, Computers / Desktop Applications / Databases, Computers / Desktop Applications / General, Computers / Programming / General, Computers / General",,http://bks1.books.google.com/books?id=VRrplVsxIK4C&printsec=frontcover&img=1&zoom=1&source=gbs_gdata,http://books.google.com/books?id=VRrplVsxIK4C
Microsoft Office Excel 2003 programming inside out,,,"Curtis Frye, Wayne S. Freeze, Felicia Buckingham",,,Microsoft Press,2004-03-10,"You're a sophisticated user of Excel--a real pro with spreadsheets--so now dig into its powerful programming capabilities and really put your data to work! From writing code in Microsoft Visual Basic for Applications (VBA) to taking advantage of new XML data-sharing features, this book packs hundreds of timesaving programming solutions, troubleshooting tips, and handy workarounds all in concise, fast-answer format. Discover the best and fastest ways to build custom business solutions with Excel--and challenge yourself to new levels of mastery! From automating simple tasks to building custom solutions, write better code with VBA Learn best practices for writing and debugging your own macros Use VBA code to manage dates and times, reformat worksheets, and locate external files Extend your Excel solutions by developing your own add-ins Get powerful perspectives on data by programmatically manipulating PivotTable and PivotChart dynamic views Create custom command bars, dialog boxes, and user forms Employ ActiveX Data Objects (ADO) to access external databases Exploit the new XML capabilities in Excel 2003 CD features: Complete eBook in PDF format Insider Extras--including all the authors' sample files and code Catalog of Excel resources with links to third-party tools and demos Microsoft resources and demos, including Insider's Guide to Microsoft Office OneNote 2003 eBook FREE! Microsoft Computer Dictionary, Fifth Edition, eBook--10,000+ entries A Note Regarding the CD or DVDThe print version of this book ships with a CD or DVD. For those customers purchasing one of the digital formats in which this book is available, we are pleased to offer the CD/DVD content as a free download via OReilly Medias Digital Distribution services. To download this content, please visit OReillys web site, search for the title of this book to find its catalog page, and click on the link below the cover image (Examples, Companion Content, or Practice Files). Note that while we provide as much of the media content as we are able via free download, we are sometimes limited by licensing restrictions. Please direct any questions or concerns to booktech@oreilly.com.A Note Regarding the CD or DVDThe print version of this book ships with a CD or DVD. For those customers purchasing one of the digital formats in which this book is available, we are pleased to offer the CD/DVD content as a free download via OReilly Medias Digital Distribution services. To download this content, please visit OReillys web site, search for the title of this book to find its catalog page, and click on the link below the cover image (Examples, Companion Content, or Practice Files). Note that while we provide as much of the media content as we are able via free download, we are sometimes limited by licensing restrictions. Please direct any questions or concerns to booktech@oreilly.com.",0735619859,9780735619852,_AANAAAACAAJ,594,18.7x23.5x4.0 cm,,"Business/ Computer programs, Business, Electronic books, Electronic spreadsheets, Microsoft Excel (Computer file), Computers / General, Computers / Enterprise Applications / General, Computers / Programming / General, Computers / Desktop Applications / Spreadsheets",,http://bks3.books.google.com/books?id=_AANAAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_gdata,http://books.google.com/books?id=_AANAAAACAAJ
Microsoft Office specialist study guide,Office 2003 edition,,,,,Microsoft Press,2004-07-21,"Demonstrate your expertise with Microsoft Office! Designed to help you practice and prepare for Microsoft Office Specialist certification, this easy-to-use study guide features: Step-by-step exercises for building and strengthening your skills Practice files on CD End-of-chapter objective reviews MeasureUp practice test to assess your exam readinessWith in-depth preparation for all the exam objectives on the Microsoft Office 2003 Editions track, including both core- and expert-level certifications, you'll gain the skills and knowledge you need to help you ace the exam!Includes one free practice test from MeasureUp! Take an online skills testlooks and scores like the certification exam Test yourself within the real application Get feedback on correct and incorrect answers Identify where you need to focus your study timeCovers all the exam objectives for: Microsoft Office Word 2003 Core Microsoft Office Word 2003 Expert Microsoft Office Excel 2003 Core Microsoft Office Excel 2003 Expert Microsoft Office PowerPoint 2003 Microsoft Office Access 2003 Microsoft Office Outlook 2003",0735621101,9780735621107,EGjvAAAAMAAJ,812,18.6x23.4x5.3 cm,,"Business/ Computer programs, Electronic data processing personnel/ Certification, Microsoft software/ Examinations/ Study guides, Microsoft Office, Business, Electronic data processing personnel, Microsoft software, Electronic books, Computers / Operating Systems / Windows Workstation, Study Aids / Professional, Computers / Enterprise Applications, Computers / General, Computers / Certification Guides / General, Computers / Desktop Applications / General",,http://bks1.books.google.com/books?id=EGjvAAAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_gdata,http://books.google.com/books?id=EGjvAAAAMAAJ
Microsoft Visual Basic 2005 step by step,,,Michaël Halvorson,,,Microsoft Press,2005-11-02,"Whether you are new to programming or to Visual Basic 2005, this tutorial gives you practical guidance to build your programming knowledge. Use the real-world exercises to teach yourself the essentials of Visual Basic—and begin creating applications for Microsoft Windows and the Web.Discover how to: Work in the Microsoft Visual Studio 2005 development environment Use Toolbox controls to create compelling user interfaces complete with digital photos, menus, toolbars, check boxes, and more Add artwork, animation, and special effects to an application Use inheritance and other new object-oriented programming capabilities Detect, track, and repair bugs in your code Store program data using variables, modules, arrays, and collections Add sophisticated functions to your applications with Microsoft .NET Framework 2.0 classes and methods Manage code flow with decision structures, loops, timers, and procedures Program interactive Web applications with Microsoft ASP.NET 2.0 Create datacentric applications using Microsoft ADO.NET Write custom code for printers and configure dialog boxes for printing Migrate Visual Basic 6.0 code to Visual Basic 2005 CD includes all practice exercises.A Note Regarding the CD or DVDThe print version of this book ships with a CD or DVD. For those customers purchasing one of the digital formats in which this book is available, we are pleased to offer the CD/DVD content as a free download via O'Reilly Media's Digital Distribution services. To download this content, please visit O'Reilly's web site, search for the title of this book to find its catalog page, and click on the link below the cover image (Examples, Companion Content, or Practice Files). Note that while we provide as much of the media content as we are able via free download, we are sometimes limited by licensing restrictions. Please direct any questions or concerns to booktech@oreilly.com.",0735621314,9780735621312,FxqDQgAACAAJ,523,18.4x23.0x3.6 cm,,"BASIC (Computer program language), Electronic books, Microsoft Visual BASIC, Computers / General, Computers / Programming / General, Computers / Programming Languages / Visual BASIC, Computers / Web / Web Programming",,http://bks6.books.google.com/books?id=FxqDQgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_gdata,http://books.google.com/books?id=FxqDQgAACAAJ
Microsoft Visual Basic .NET programming for the absolute beginner,,,Jonathan S. Harbour,,,Cengage Learning,2002-09-20,"If you are new to programming with Visual Basic .NET or upgrading from Visual Basic 6.0 and are looking for a solid introduction, this is the book for you. Developed by computer science instructors, books in the for the absolute beginner series teach the principles of programming through simple game creation. You will acquire the skills that you need formore practical Visual Basic .NET programming applications and will learn how these skills can be put to use in real world scenarios. Best of all, by the time you finish this book you will be able to apply the basic principles youve learned to the next programming language you tackle.",1592000029,9781592000029,-xhJ1yI8vFUC,450,19.0x24.0x2.4 cm,,"BASIC (Computer program language), Microsoft Visual BASIC, Visual programming languages (Computer science), Computers / Programming / General, Computers / Programming Languages / Visual BASIC",,http://bks0.books.google.com/books?id=-xhJ1yI8vFUC&printsec=frontcover&img=1&zoom=1&source=gbs_gdata,http://books.google.com/books?id=-xhJ1yI8vFUC
Mockingbird,,,Walter Tevis,,,Gollancz,2007-06-14,"The future is a grim place in which the declining human population wanders, drugged and lulled by electronic bliss. It's a world without art, reading and children, a world where people would rather burn themselves alive than endure. Even Spofforth, the most perfect machine ever created, cannot bear it and seeks only that which he cannot have - to cease to be. But there is hope for the future in the passion and joy that a man and woman discover in love and in books, hope even for Spofforth. A haunting novel, reverberating with anguish but also celebrating love and the magic of a dream.",0575079150,9780575079151,TabNAAAACAAJ,288,12.9x19.5x1.9 cm,,Fiction / General,,http://bks8.books.google.com/books?id=TabNAAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_gdata,http://books.google.com/books?id=TabNAAAACAAJ
Modern operating systems,,,Andrew S. Tanenbaum,,,Prentice Hall,1992-01-01,Software -- Operating Systems.,0135957524,9780135957523,FH1gQgAACAAJ,728,17.8x24.0 cm,,"Operating systems (Computers), Computers / Operating Systems / General",,http://bks9.books.google.com/books?id=FH1gQgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_gdata,http://books.google.com/books?id=FH1gQgAACAAJ
Modern systems analysis and design,,,"Jeffrey A. Hoffer, Joey F. George, Joseph S. Valacich",,,Addison-Wesley,1999-01-01,"Complex, challenging, and stimulating, this book addresses information system analysis and design; it is full of information that shows the organizational process that a team of business and systems professionals use to develop and maintain computer-based information systems. It stresses the importance of responding to and anticipating problems through innovative uses of information technology. The book provides an excellent foundation for systems development, then goes on to making the business case, analysis, design, implementation and maintenance. For future systems analysts, or for those information technology that need a great resource for implementing new ideas and strategies for success.",0201526107,9780201526103,y5ZuPwAACAAJ,854,,,"System analysis, System design, Computers / Software Development & Engineering / Systems Analysis & Design, Computers / Desktop Applications / Databases",,,http://books.google.com/books?id=y5ZuPwAACAAJ
Necronomicon,the best weird tales of H.P. Lovecraft,,H. P. Lovecraft,,,Gollancz,2008-05-05,"WIKIPEDIA says: 'H.P. Lovecraft's reputation has grown tremendously over the decades, and he is now commonly regarded as one of the most important horror writers of the 20th century, exerting an influence that is widespread, though often indirect.'H.P. Lovecraft's tales of the tentacled Elder God Cthulhu and his pantheon of alien deities were initially written for the pulp magazines of the 1920s and '30s. These astonishing tales blend elements of horror, science fiction and cosmic terror that are as powerful today as they were when they were first published.This handsome leatherbound tome collects together all of Lovecraft's tales of terror, including the complete Cthulhu Mythos cycle, just the way they were originally published. It will introduce a whole new generation of readers to Lovecraft's fiction, as well as being a must-buy for those fans who want all his work in a single, definitive, highly attractive volume.",0575081562,9780575081567,194EBAAACAAJ,880,15.2x24.1x14.7 cm,,"Horror tales,, American, Fiction / General, Fiction / Horror, Fiction / Short Stories (single author)",,http://bks1.books.google.com/books?id=194EBAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_gdata,http://books.google.com/books?id=194EBAAACAAJ
Networking,a beginner's guide,,Bruce A. Hallberg,,,Osborne/McGraw-Hill,2001-01-01,"Networking: A Beginner's Guide, Second Edition is the practical, hands-on networking guide that new network administrators need as they begin their networking career.-- This real-world reference and tutorial will help readers build a concrete foundation in networking technology. It focuses on core networking fundamentals, including design and configuration, hardware, networking protocols, network clients, and security issues.Key Features Include: -- A new first chapter to ensure that all readers start with the fundamentals of networking such as why a network is essential and what role each person plays in building and then maintaining a network.-- Hands-on instructions for Windows 2000 Server, NetWare 5.1, and Red Hat Linux installation, configuration, and administration.-- Eight pages of blueprints will map out basic network design topologies as well as offer a visual comparison of both Windows NT vs. Windows 2000 and Windows NT/2000 vs. Linux.-- New chapters on network security, network disaster recovery, the business of networking-- Expanded coverage of network cabling, networking protocols, and thin clients",0072132310,9780072132311,qKCdPwAACAAJ,432,18.5x24.0x2.8 cm,,"Computer networks, Internetworking (Telecommunication), Computers / Networking / General",,http://bks4.books.google.com/books?id=qKCdPwAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_gdata,http://books.google.com/books?id=qKCdPwAACAAJ
NVQ engineering level 2,mechanical units,,David Salmon,,,Longman,1998-08-14,"This workbook provides a programme of work for the development of the practical skills and knowledge required for the three mechanical option units of the NVQ Engineering Manufacture (Foundation) at Level 2. It is designed for use in the college, the training organisation or the workplace and is part of a series of workbooks covering the complete NVQ scheme. The book is an invaluable resource for both trainee and training provider. Trainees will acquire the necessary underpinning knowledge by using this book and will be able to demonstrate the practical skill required for assessment by completing the set practical tasks and exercises. There are over 24 practical and progressive exercises and activities which assist the trainee in demonstrating their competence in each NVQ element. The book also discusses safe working practices.",0582302994,9780582302990,nn9COAAACAAJ,163,21.0x30.0x1.4 cm,,"Engineering, Manufactures, Mechanical engineering",,http://bks6.books.google.com/books?id=nn9COAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_gdata,http://books.google.com/books?id=nn9COAAACAAJ
Object-oriented design with C++,,,"Kenneth A. Barclay, W. John Savage",,,Prentice Hall,1997-01-01,"This is an introductory text to object oriented sesign using OMT and C++. The adoption of C++ as a programming language presents a number of challenges, not least to reduce the degree of freedom available to the programmer. It explores some of these difficulties and their resolutions, by imposing on the language the use of an object model. This is also expessed in the design language. LOOM which, in addition to constraining the form of the model, also removes the confusing syntax of C++. The emergence of a number of object oriented methods offers the opportunity to impose object oriented modelling and designs into the development process from the beginning, ahead of implentation concerns. LOOM reinforces the holistic nature of the object model where there is less division between the phases of the software like cycle. It also provides the balance between the power and flexibility of the C++ programming language and the control required in its usage. In this way Loom reduces the risk involved in the adoption of C++ as an implementation laguage. Available on the Internet http://www,dcs,napier.ac.uk/rome",0132563711,9780132563710,zAl0QgAACAAJ,481,17.4x24.0x1.6 cm,,"C (Computer program language), C++ (Computer program language), C, Object-oriented methods (Computer science), Object-oriented programming (Computer science), Computers / Programming Languages / C, Computers / Programming / Object Oriented",,http://bks1.books.google.com/books?id=zAl0QgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_gdata,http://books.google.com/books?id=zAl0QgAACAAJ
Object-oriented systems analysis and design using UML,,,"Simon Bennett, Steve McRobb, Ray Farmer",,,McGraw-Hill,1999-01-01,,0077094972,9780077094973,CVd2QgAACAAJ,516,,,"Object-oriented methods (Computer science), Object-oriented programming (Computer science), System analysis, System design, Systems engineering, UML (Computer science), Unified modeling language, Computers / Programming / Object Oriented, Science / System Theory",,,http://books.google.com/books?id=CVd2QgAACAAJ
OOP with Microsoft Visual Basic.NET and Microsoft Visual C# .NET step by step,,,Robin A. Reynolds-Haertle,,,Microsoft Press,2002-02-28,"This intuitive, self-paced learning title is designed to help any developer master the basics of object-oriented programming (OOP) with Microsoft Visual Basic.NET or Microsoft Visual C#. This step-by-step guide provides readers with clear, peer-level language, while it illustrates concepts with concrete, engaging examples, and coding practice exercises. Readers learn how to create and implement objects, master fully object-oriented design, migrate to Microsoft .NET programming and more.",0735615683,9780735615687,4dxTzGkgUn0C,422,18.9x24.0x3.2 cm,,"BASIC (Computer program language), C# (Computer program language), C♯ (Computer program language), Electronic books, Microsoft Visual BASIC, Object-oriented programming (Computer science), Computers / General, Computers / Hardware / Personal Computers / General, Computers / Programming Languages / General, Computers / Programming Languages / C, Computers / Programming Languages / Visual BASIC, Computers / Programming / Object Oriented, Computers / Software Development & Engineering / General",,http://bks3.books.google.com/books?id=4dxTzGkgUn0C&printsec=frontcover&img=1&zoom=1&source=gbs_gdata,http://books.google.com/books?id=4dxTzGkgUn0C
Optoelectronics,an introduction,,"John Wilson, J. F. B. Hawkes",,,Prentice Hall Europe,1998-01-01,,0132398648,9780132398640,uZdJPgAACAAJ,559,,,Optoelectronics,,http://bks3.books.google.com/books?id=uZdJPgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_gdata,http://books.google.com/books?id=uZdJPgAACAAJ
PASCAL FOR SCIENCE & ENGIN PB,,,Mcgregor &,,,Taylor and Francis,1993-06-01,,0273018892,9780273018896,iLCUQAAACAAJ,338,20.3x25.4x5.1 cm,,"Engineering - Data processing, Pascal (Computer program language), Science - Data processing, Reference / Questions & Answers",,,http://books.google.com/books?id=iLCUQAAACAAJ
People Who Shaped History,,,Parragon Book Service Limited,,,Parragon,1999-01-01,,0752530402,9780752530406,muxwAAAACAAJ,320,,,Biography,,,http://books.google.com/books?id=muxwAAAACAAJ
Prelude to foundation,,,Isaac Asimov,,,HarperCollins,1988-01-01,"It is the year 12,020 g.e. and the last Galactic Emperor of the Autun dynasty, Cleon 1, sits uneasily on the throne. These are troubled times and Cleon is desperate to find a way to calm them. When young Outworld mathematician Hari Seldon arrives on Trantor to present a paper on psychohistory, his astounding theory of prediction, the Emperor believes that his future security may rest on Seldon's prophetic powers... In 'Prelude to Foundation', what happened in the many centuries before the events made famous in Asimov's other Foundation novels - hitherto only hinted at - is now revealed.The epic story of the Foundation is one of the great classics of science fiction.",0586071113,9780586071113,rVZkQgAACAAJ,464,11.0x18.0x17.8 cm,,"Science fiction, Fiction / Science Fiction / General",,http://bks2.books.google.com/books?id=rVZkQgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_gdata,http://books.google.com/books?id=rVZkQgAACAAJ
Professional ASP.NET 3.5,In C# and VB,,"Bill Evjen, Scott Hanselman, Devin Rader",,,Wiley Pub.,2008-02-15,"This book was written to introduce you to the features and capabilities that ASP.NET 3.5 offers, as well as to give you an explanation of the foundation that ASP.NET provides. We assume you have a general understanding of Web technologies, such as previous versions of ASP.NET, Active Server Pages 2.0/3.0, or JavaServer Pages. If you understand the basics of Web programming, you should not have much trouble following along with this book's content. If you are brand new to ASP.NET, be sure to check out Beginning ASP.NET 3.5: In C# and VB by Imar Spaanjaars (Wiley Publishing, Inc., 2008) to help you understand the basics. In addition to working with Web technologies, we also assume that you understand basic programming constructs, such as variables, For Each loops, and object-oriented programming. You may also be wondering whether this book is for the Visual Basic developer or the C# developer. We are happy to say that it is for both! When the code differs substantially, this book provides examples in both VB and C#. This book spends its time reviewing the 3.5 release of ASP.NET. Each major new feature included in ASP.NET 3.5 is covered in detail. The following list tells you something about the content of each chapter. Chapter 1, ""Application and Page Frameworks."" This chapter shows you how to build ASP.NET applications using IIS or the built-in Web server that comes with Visual Studio 2008. This chapter also shows you the folders and files that are part of ASP.NET. It discusses ways to compile code and shows you how to perform cross-page posting. This chapter ends by showing you easy ways to deal with your classes from within Visual Studio 2008. Chapters 2, 3, and 4.These three chapters are grouped here because they all deal with server controls. This batch of chapters starts by examining the idea of the server control and its pivotal role in ASP.NET development. In addition to looking at the server control framework, these chapters delve into the plethora of server controls that are at your disposal for ASP.NET development projects. Chapter 5, ""Working with Master Pages.""Master pages are a great capability found in ASP.NET. They provide a means of creating templated pages that enable you to work with the entire application, as opposed to single pages. Chapter 6, ""Themes and Skins.” This chapter looks at how to deal with the styles that your applications require and shows you how to create a centrally managed look-and-feel for all the pages of your application by using themes and the skin files that are part of a theme. Chapter 7, ""Data Binding in ASP.NET 3.5.” One of the more important tasks of ASP.NET is presenting data, and this chapter shows you how to do that with ASP.NET controls. Chapter 8, ""Data Management with ADO.NET.” This chapter presents the ADO.NET data model provided by ASP.NET, which allows you to handle the retrieval, updating, and deleting of data quickly and logically. Chapter 9, ""Querying with LINQ."" LINQ is a set of extensions to the .NET Framework that encompass language-integrated query, set, and transform operations. This chapter introduces you to LINQ and how to use this new feature in web applications today. Chapter 10, ""Working with XML and LINQ to XML."" This chapter looks at the XML technologies built into ASP.NET and the underlying .NET Framework to help you easily extract, create, manipulate, and store XML.. Chapter 11, ""IIS7."" Probably the most substantial release of IIS in its history, IIS 7.0 will change the way you host and work with your ASP.NET applications. Chapter 12, ""Introduction to the Provider Model."" A number of systems are built into ASP.NET that make the lives of developers so much easier and more productive than ever before. These systems are built upon an architecture called a provider model, which is rather extensible. This chapter gives an overview of this provider model and how it is used throughout ASP.NET 3.5. Chapter 13, ""Extending the Provider Model."" This chapter looks at some of the ways to extend the provider model found in ASP.NET 3.5. This chapter also reviews a couple of sample extensions to the provider model. Chapter 14, ""Site Navigation."" Many developers do not simply develop single pages—they build applications. One of the application capabilities provided by ASP.NET 3.5 is the site navigation system covered in this chapter. Chapter 15, ""Personalization."". The ASP.NET team developed a way to store end user information—the ASP.NET personalization system. Chapter 16, ""Membership and Role Management."" This chapter covers the membership and role management system developed to simplify adding authentication and authorization to your ASP.NET applications. This chapter focuses on using the web.config file for controlling how these systems are applied, as well as on the server controls that work with the underlying systems. Chapter 17, ""Portal Frameworks and Web Parts."" This chapter explains Web Parts—a way of encapsulating pages into smaller and more manageable objects. Chapter 18, ""HTML and CSS Design with ASP.NET."" A lot of focus on building a CSS-based Web application was placed on Visual Studio 2008. This chapter takes a close look at how you can effectively work with HTML and CSS design for your ASP.NET applications. Chapter 19, ""ASP.NET AJAX.""AJAX signifies the capability to build applications that make use of the XMLHttpRequest object. New to Visual Studio 2008 is the ability to build AJAX-enabled ASP.NET applications from the default install of the IDE. Chapter 20, ""ASP.NET AJAX Control Toolkit."" This chapter takes a good look at the ASP.NET AJAX Control Toolkit, a series of new controls that are now available to make AJAX web development rather simple. Chapter 21, ""Security."" This security chapter discusses security beyond the membership and role management features provided by ASP.NET 3.5. This chapter provides an in-depth look at the authentication and authorization mechanics inherent in the ASP.NET technology, as well as HTTP access types and impersonations. Chapter 22, ""State Management."" Because ASP.NET is a request-response–based technology, state management and the performance of requests and responses take on significant importance. This chapter introduces these two separate but important areas of ASP.NET development. Chapter 23 , ""Caching."" Because of the request-response nature of ASP.NET, caching on the server becomes important to the performance of your ASP.NET applications. This chapter looks at some of the advanced caching capabilities provided by ASP.NET, including the SQL cache invalidation feature which is part of ASP.NET 3.5. Chapter 24, ""Debugging and Error Handling."" This chapter tells you how to properly structure error handling within your applications. It also shows you how to use various debugging techniques to find errors that your applications might contain. Chapter 25, ""File I/O and Streams."" More often than not, you want your ASP.NET applications to work with items that are outside the base application. This chapter takes a close look at working with various file types and streams that might come into your ASP.NET applications. Chapter 2",0470187573,9780470187579,khkGoBK7kYoC,1410,19.1x23.6x5.4 cm,,"Active server pages, C# (Computer program language), Internet programming, Microsoft .NET, Web servers, Web site development, Web sites/ Design, Web sites, Computers / Programming / General, Computers / Programming Languages / Visual BASIC, Computers / Programming Languages / C#, Computers / Web / Page Design, Computers / Internet / Application Development, Computers / Web / Site Design, Computers / Client-Server Computing, Computers / Internet / Web Page Design",,http://bks7.books.google.com/books?id=khkGoBK7kYoC&printsec=frontcover&img=1&zoom=1&source=gbs_gdata,http://books.google.com/books?id=khkGoBK7kYoC
Professional SQL Server 2005 Performance Tuning,,,"Steven Wort, Christian Bolton, Justin Langford, Michael Cape, Joshua J. Jin, Douglas Hinson, Haidong Ji",,,John Wiley & Sons,2008-01-11,"Professional SQL Server 2005 Performance Tuning Written by a team of expert SQL users, this comprehensive resource approaches performance tuning from a new perspective by showing you a methodical scientific approach to diagnose performance problems. In addition, the authors demonstrate how to make use of the key tools for SQL Server Performance tuning. Broken into four parts, the book first walks you through how to discover bottlenecks when something is wrong and how to monitor SQL Server to see whether there is a resource bottleneck. You'll then learn how to identify and remove the problems that are causing poor performance. The next section explains the preventive measures you can take to try to avoid a performance problem entirely. Finally, you'll learn how to achieve better performance and you'll take a look at some of the challenges involving performance tuning at the later stages of a product's life. What you will learn from this book How to use the SQL Server wait types to find resource bottlenecks and the queries that are creating them Ways to tune and configure the schema so you can remove bottlenecks Techniques for creating standard workloads for use in performance testing Benefits of storage subsystem performance and robustness How to use SQLIO and SQLIOSim to their full potential Best practices for a successful deployment Who this book is for This book is for consultants, developers, DBAs, architects, or anyone with an interest in SQL performance. A working knowledge of T-SQL and knowledge of how to perform basic SQL Server and OS administrative tasks is necessary. Wrox Professional guides are planned and written by working programmers to meet the real-world needs of programmers, developers, and IT professionals. Focused and relevant, they address the issues technology professionals face every day. They provide examples, practical solutions, and expert education in new technologies, all designed to help programmers do a better job.",0470176393,9780470176399,-M55F0pRy-EC,578,18.8x23.4x3.2 cm,,"Client/server computing, SQL server, Computers / Database Management / General, Computers / Programming Languages / SQL, Computers / General, Computers / Client-Server Computing, Computers / Desktop Applications / Databases",,http://bks9.books.google.com/books?id=-M55F0pRy-EC&printsec=frontcover&img=1&zoom=1&source=gbs_gdata,http://books.google.com/books?id=-M55F0pRy-EC
